variant,method,fusion_ratio_lambda,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,official_test_evaluations,scientific_result
alg,alg,,1,4,0.03,61,0.7507381731227645,0.8031171307644589,0.7535580197148827,0.8085817116640782,0.7547984315231464,0.86236499180501,0.8602679578052613,0.9033243908072479,1,True
alg,alg,,1,5,0.03,73,0.7505806134204789,0.8025050028311779,0.754055674783311,0.8093774809655975,0.7562931424381127,0.8624618194930822,0.8612379382045701,0.9036051549750391,1,True
alg,alg,,2,1,0.01,16,0.7664087821805865,0.817921099786571,0.7745618197861484,0.8296661689921963,0.7811421827838574,0.8781901552005351,0.8771250159972764,0.9151009411746273,1,True
alg,alg,,2,2,0.1,79,0.766148278075768,0.8169944139298605,0.7729912396696191,0.8286319538971654,0.7793330996489254,0.8779308081454053,0.8759833668048924,0.9147033689563515,1,True
alg,alg,,2,3,0.03,68,0.7660364070528238,0.8178630195491289,0.773636163224004,0.8294420811073073,0.7798888157765762,0.8789953464380386,0.8763343067991649,0.9153066573621539,1,True
alg,alg,,2,4,0.1,83,0.7669519677953749,0.818311234987577,0.7740060507641082,0.8295686383862559,0.7809551070882761,0.8781821696842357,0.8770070665790979,0.9150689228499889,1,True
alg,alg,,2,5,0.03,73,0.7660883767228133,0.8179903251407348,0.7744358422290305,0.830079431271808,0.7808403561741794,0.8793185063694366,0.8769347049745401,0.915605821228688,1,True
alg,alg,,3,1,0.03,73,0.763664673168996,0.8165575168337131,0.7696304837984016,0.8248261059145952,0.7741416928554167,0.8755105189737736,0.8726943242165328,0.9127427203443661,1,True
alg,alg,,3,2,0.03,73,0.7635884080682747,0.8171531118377624,0.7689627315164793,0.8244477905079111,0.7727360308689711,0.8761595501468511,0.8718004456537012,0.9128546048807136,1,True
alg,alg,,3,3,0.03,68,0.7632262027390977,0.8169318421980367,0.7682440692663368,0.8240923882465357,0.7726706522042656,0.8755141242888059,0.8717588360178148,0.9125258132259648,1,True
alg,alg,,3,4,0.03,61,0.763378628730317,0.8170763952372206,0.7688448422464648,0.8237453081663946,0.7730622415256297,0.8744283748071593,0.8720080135037438,0.9120498487536712,1,True
alg,alg,,3,5,0.03,56,0.7636656636029833,0.8162871853853655,0.7687227225910953,0.8238571769549226,0.7724586668189812,0.875255687090864,0.8716238988018911,0.9123668239744916,1,True
ibkd_lambda_0.25,ibkd,0.25,1,1,0.01,62,0.741491535116946,0.7950636894477929,0.7481307284262178,0.8053613835188108,0.7486416271643135,0.8620811398733081,0.856255067401488,0.9022389572158078,1,True
ibkd_lambda_0.25,ibkd,0.25,1,2,0.03,82,0.7410815348787654,0.7947416173361923,0.7489171515914862,0.8057194283225798,0.7487811172291404,0.8626577394160192,0.8563462972605149,0.9025499994472659,1,True
ibkd_lambda_0.25,ibkd,0.25,1,3,0.1,87,0.7426629317516813,0.796506605080441,0.7491581580518208,0.8059098353487182,0.7496722357798694,0.8621474349175668,0.8569287669421389,0.9024284536756308,1,True
ibkd_lambda_0.25,ibkd,0.25,1,4,0.01,66,0.7422011017991645,0.7953934696422222,0.7481762506967953,0.8054123201372645,0.7485263094414197,0.8622983308331093,0.8561796358449331,0.9023307327579386,1,True
ibkd_lambda_0.25,ibkd,0.25,1,5,0.01,73,0.7415505893180744,0.7952590817552094,0.749357100110781,0.8061387483376228,0.7498928676639313,0.8623846290113144,0.8570728888849314,0.9025807977312942,1,True
ibkd_lambda_0.25,ibkd,0.25,2,1,0.01,62,0.7376209648622902,0.7934529972110191,0.7428439118459921,0.7996844300790584,0.7412155999669062,0.8581532601912105,0.8513771642994629,0.8991333840981703,1,True
ibkd_lambda_0.25,ibkd,0.25,2,2,0.01,34,0.7384513971512158,0.7945126195142539,0.7422905973929512,0.7996757364174558,0.7419385359840931,0.8574129368508184,0.851853863563494,0.8988704312846653,1,True
ibkd_lambda_0.25,ibkd,0.25,2,3,0.1,87,0.7377816620628069,0.7930468832613307,0.7432319546212565,0.7999483669130734,0.7418979445219104,0.8579987893042365,0.8518271083045973,0.8991592898335595,1,True
ibkd_lambda_0.25,ibkd,0.25,2,4,0.01,69,0.7388182431183425,0.794896392112455,0.7437143304317787,0.8012867989129993,0.7444691366653661,0.8581044611606325,0.8535194128896467,0.8996070571236329,1,True
ibkd_lambda_0.25,ibkd,0.25,2,5,0.03,62,0.7378399682066198,0.7928109578181508,0.7419271047051644,0.798960648388877,0.7408721421936767,0.8570491545840774,0.8511505517689566,0.8985236239033453,1,True
